state_with_history,Q_action_0,Q_action_1,best_action,best_q
x1|[],936.216552734375,5.800785541534424,0,936.216552734375
x2|[0],3.861558437347412,954.631591796875,1,954.631591796875
x2|[1],3.2035443782806396,4.871282577514648,1,4.871282577514648
"x3|[0, 0]",2.4702014923095703,3.900087594985962,1,3.900087594985962
"x3|[0, 1]",968.4752807617188,3.8899149894714355,0,968.4752807617188
"x3|[1, 0]",1.7620488405227661,3.616309881210327,1,3.616309881210327
"x3|[1, 1]",2.546613931655884,3.930591106414795,1,3.930591106414795
"x4|[0, 0, 0]",1.1720203161239624,2.674015760421753,1,2.674015760421753
"x4|[0, 0, 1]",1.6398594379425049,2.9342024326324463,1,2.9342024326324463
"x4|[0, 1, 0]",1.9697266817092896,980.4404907226562,1,980.4404907226562
"x4|[0, 1, 1]",1.7518144845962524,2.945875883102417,1,2.945875883102417
"x4|[1, 0, 0]",0.794762372970581,2.251159191131592,1,2.251159191131592
"x4|[1, 0, 1]",1.1325323581695557,2.8083927631378174,1,2.8083927631378174
"x4|[1, 1, 0]",1.193045735359192,2.7609472274780273,1,2.7609472274780273
"x4|[1, 1, 1]",1.5622739791870117,2.969452381134033,1,2.969452381134033
"x5|[0, 0, 0, 0]",0.44573983550071716,1.5551005601882935,1,1.5551005601882935
"x5|[0, 0, 0, 1]",0.43330758810043335,1.8552653789520264,1,1.8552653789520264
"x5|[0, 0, 1, 0]",0.6520407795906067,1.9197624921798706,1,1.9197624921798706
"x5|[0, 0, 1, 1]",0.6942284107208252,1.9725021123886108,1,1.9725021123886108
"x5|[0, 1, 0, 0]",0.8688948750495911,1.9899827241897583,1,1.9899827241897583
"x5|[0, 1, 0, 1]",989.9232177734375,1.9884495735168457,0,989.9232177734375
"x5|[0, 1, 1, 0]",0.42813199758529663,1.8200174570083618,1,1.8200174570083618
"x5|[0, 1, 1, 1]",0.922858715057373,1.9868675470352173,1,1.9868675470352173
"x5|[1, 0, 0, 0]",0.04928220063447952,1.3608524799346924,1,1.3608524799346924
"x5|[1, 0, 0, 1]",0.1314029097557068,1.5529216527938843,1,1.5529216527938843
"x5|[1, 0, 1, 0]",0.14761288464069366,1.673120379447937,1,1.673120379447937
"x5|[1, 0, 1, 1]",0.4744161367416382,1.9171894788742065,1,1.9171894788742065
"x5|[1, 1, 0, 0]",0.04659929871559143,1.6261992454528809,1,1.6261992454528809
"x5|[1, 1, 0, 1]",0.6358947157859802,1.9160730838775635,1,1.9160730838775635
"x5|[1, 1, 1, 0]",0.7465787529945374,1.8667525053024292,1,1.8667525053024292
"x5|[1, 1, 1, 1]",0.9599972367286682,1.9899133443832397,1,1.9899133443832397
"x6|[0, 0, 0, 0, 0]",0.0,0.8146979808807373,1,0.8146979808807373
"x6|[0, 0, 0, 0, 1]",0.0,0.9282101988792419,1,0.9282101988792419
"x6|[0, 0, 0, 1, 0]",0.0,0.8784233331680298,1,0.8784233331680298
"x6|[0, 0, 0, 1, 1]",0.0,0.9966186285018921,1,0.9966186285018921
"x6|[0, 0, 1, 0, 0]",0.0,0.9418502449989319,1,0.9418502449989319
"x6|[0, 0, 1, 0, 1]",0.0,0.9953616261482239,1,0.9953616261482239
"x6|[0, 0, 1, 1, 0]",0.0,0.9942736029624939,1,0.9942736029624939
"x6|[0, 0, 1, 1, 1]",0.0,0.9999997615814209,1,0.9999997615814209
"x6|[0, 1, 0, 0, 0]",0.0,0.9966186285018921,1,0.9966186285018921
"x6|[0, 1, 0, 0, 1]",0.0,0.9999997615814209,1,0.9999997615814209
"x6|[0, 1, 0, 1, 0]",999.999755859375,0.9999997615814209,0,999.999755859375
"x6|[0, 1, 0, 1, 1]",0.0,0.9999997615814209,1,0.9999997615814209
"x6|[0, 1, 1, 0, 0]",0.0,0.8146979808807373,1,0.8146979808807373
"x6|[0, 1, 1, 0, 1]",0.0,0.9994924664497375,1,0.9994924664497375
"x6|[0, 1, 1, 1, 0]",0.0,0.997534990310669,1,0.997534990310669
"x6|[0, 1, 1, 1, 1]",0.0,0.9999997615814209,1,0.9999997615814209
"x6|[1, 0, 0, 0, 0]",0.0,0.34389999508857727,1,0.34389999508857727
"x6|[1, 0, 0, 0, 1]",0.0,0.7941088676452637,1,0.7941088676452637
"x6|[1, 0, 0, 1, 0]",0.0,0.5217031240463257,1,0.5217031240463257
"x6|[1, 0, 0, 1, 1]",0.0,0.9353891611099243,1,0.9353891611099243
"x6|[1, 0, 1, 0, 0]",0.0,0.5217031240463257,1,0.5217031240463257
"x6|[1, 0, 1, 0, 1]",0.0,0.9353891611099243,1,0.9353891611099243
"x6|[1, 0, 1, 1, 0]",0.0,0.8784233331680298,1,0.8784233331680298
"x6|[1, 0, 1, 1, 1]",0.0,0.999226450920105,1,0.999226450920105
"x6|[1, 1, 0, 0, 0]",0.0,0.34389999508857727,1,0.34389999508857727
"x6|[1, 1, 0, 0, 1]",0.0,0.9202335476875305,1,0.9202335476875305
"x6|[1, 1, 0, 1, 0]",0.0,0.9353891611099243,1,0.9353891611099243
"x6|[1, 1, 0, 1, 1]",0.0,0.9988210201263428,1,0.9988210201263428
"x6|[1, 1, 1, 0, 0]",0.0,0.9418502449989319,1,0.9418502449989319
"x6|[1, 1, 1, 0, 1]",0.0,0.995825469493866,1,0.995825469493866
"x6|[1, 1, 1, 1, 0]",0.0,0.9991405010223389,1,0.9991405010223389
"x6|[1, 1, 1, 1, 1]",0.0,0.9999997615814209,1,0.9999997615814209
